# Availability - Yesterday

Date,"Node ID",Column1,Node,"IP Address","Average Availability"
8/15/2016,2362,unknown.gif,"111607 Tamiang Hulu",10.11.186.97,"0.00 %"
8/15/2016,2363,unknown.gif,"111608 Rantau",10.11.186.113,"0.00 %"
8/15/2016,2364,unknown.gif,"111609 Banda Mulia",10.11.186.129,"0.00 %"
8/15/2016,656,unknown.gif,"111610 Bandar Pusaka",10.11.186.145,"0.00 %"
8/15/2016,2365,unknown.gif,"111611 Tenggulun",10.11.186.161,"0.00 %"
8/15/2016,661,unknown.gif,"111612 Sekerak",10.11.186.177,"100.00 %"
8/15/2016,4399,14988.gif,"1117 Bener Meriah",10.11.17.1,"98.86 %"
8/15/2016,2366,unknown.gif,"111701 Pintu Rime Gayo",10.11.189.17,"0.00 %"
8/15/2016,658,unknown.gif,"111702 Permata",10.11.189.97,"0.00 %"
8/15/2016,2367,unknown.gif,"111703 Syiah Utama",10.11.189.81,"0.00 %"
8/15/2016,491,unknown.gif,"111704 Bandar",10.11.189.65,"0.00 %"
8/15/2016,299,unknown.gif,"111705 Bukit",10.11.189.33,"0.00 %"
8/15/2016,659,unknown.gif,"111706 Wih Pesam",10.11.189.49,"93.22 %"
8/15/2016,660,unknown.gif,"111707 Timang gajah",10.11.189.1,"0.00 %"
8/15/2016,664,unknown.gif,"111708 Bener Kelipah",10.11.189.113,"0.00 %"
8/15/2016,2368,unknown.gif,"111709 Mesidah",10.11.189.129,"84.92 %"
8/15/2016,2369,unknown.gif,"111710 Gajah Putih",10.11.189.145,"0.00 %"
8/15/2016,4706,unknown.gif,"1118 Pidie Jaya",10.11.18.1,"100.00 %"
8/15/2016,2370,unknown.gif,"111801 Meureudu",10.11.192.1,"98.86 %"
8/15/2016,2371,unknown.gif,"111802 Ulim",10.11.192.17,"100.00 %"
8/15/2016,2372,unknown.gif,"111803 Jangka Buaya",10.11.192.33,"100.00 %"
8/15/2016,2373,unknown.gif,"111804 Bandar Dua",10.11.192.49,"93.75 %"
8/15/2016,2374,unknown.gif,"111805 Meurah Dua",10.11.192.65,"0.00 %"
8/15/2016,2375,unknown.gif,"111806 Bandar Baru",10.11.192.81,"98.86 %"
8/15/2016,532,unknown.gif,"111807 Panteraja",10.11.192.97,"0.00 %"
8/15/2016,665,unknown.gif,"111808 Trienggadeng",10.11.192.113,"0.00 %"
8/15/2016,4109,unknown.gif,"1171 Kota Banda Aceh",10.11.71.1,"100.00 %"
8/15/2016,1807,unknown.gif,"117101 Baiturrahman",10.11.101.1,"98.31 %"
8/15/2016,1808,unknown.gif,"117102 Kuta Alam",10.11.101.17,"0.00 %"
8/15/2016,5020,unknown.gif,"117103 Meuraxa",10.11.101.33,"0.00 %"
8/15/2016,1809,unknown.gif,"117104 Syiah Kuala",10.11.101.49,"100.00 %"
8/15/2016,1810,unknown.gif,"117105 Lueng Bata",10.11.101.65,"0.00 %"
8/15/2016,1811,unknown.gif,"117106 Kuta Raja",10.11.101.81,"0.00 %"
8/15/2016,1812,unknown.gif,"117107 Banda Raya",10.11.101.97,"0.00 %"
8/15/2016,1813,unknown.gif,"117108 Jaya Baru",10.11.101.113,"0.00 %"
8/15/2016,1814,unknown.gif,"117109 Ulee Kareng",10.11.101.129,"0.00 %"
8/15/2016,4434,unknown.gif,"1172 Kota Sabang",10.11.72.1,"34.46 %"
8/15/2016,666,unknown.gif,"117201 Sukakarya",10.11.103.1,"0.00 %"
8/15/2016,2223,unknown.gif,"117202 Sukajaya",10.11.103.17,"0.00 %"
8/15/2016,4112,unknown.gif,"1173 Kota Lhokseumawe",10.11.73.1,"94.89 %"
8/15/2016,1815,unknown.gif,"117301 Muara Dua",10.11.105.1,"0.00 %"
8/15/2016,8301,unknown.gif,"117302 Banda Sakti",10.11.105.17,"0.00 %"
